case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-01161,OFF-00352,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bengaluru Urban,Hebbal,Late night (11 PM-2 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; late night (11 pm-2 am)",2025-09-10,Linked to known offender record,46-55,M,6,Repeat,Consistent MO across all recorded cases
CASE-01114,OFF-00339,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Bidar,Old City area,Late night (11 PM-2 AM),Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; late night (11 pm-2 am),2024-04-11,Linked to known offender record,18-25,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-01577,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Chikkamagaluru,IG Road area,Weekend nights,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; weekend nights,2025-06-28,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01182,OFF-00357,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bengaluru Urban,BTM Layout,Late night (11 PM-2 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; late night (11 pm-2 am)",2024-10-08,Linked to known offender record,18-25,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-01919,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Ballari,Cowl Bazaar,Weekday mornings,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; weekday mornings,2023-06-04,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01628,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Bengaluru Rural,Devanahalli town,Late night (11 PM-2 AM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; late night (11 pm-2 am),2024-05-19,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01858,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Chitradurga,Basaveshwara Nagar,Weekend nights,SMS phishing link,SMS phishing link; target: Elderly account holder; weekend nights,2025-12-27,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01078,OFF-00329,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Chikkamagaluru,Kalasapura,Early morning (4-7 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; early morning (4-7 am)",2023-05-18,Linked to known offender record,46-55,F,4,Repeat,Alternates between two known methods
CASE-00641,OFF-00202,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Bagalkot,Navanagar,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; midday (12-3 pm),2023-08-26,Linked to known offender record,46-55,M,4,Repeat,Consistent MO across all recorded cases
CASE-00056,OFF-00016,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mysuru,Jayalakshmipuram,Weekday mornings,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekday mornings,2024-12-12,Linked to known offender record,56+,F,5,Repeat,Consistent MO across all recorded cases
CASE-00731,OFF-00231,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Hassan,Vidyanagar,Midday (12-3 PM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; midday (12-3 pm),2023-12-10,Linked to known offender record,56+,M,5,Repeat,Single recorded case - insufficient pattern history
CASE-01181,OFF-00357,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bengaluru Urban,Marathahalli,Early morning (4-7 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; early morning (4-7 am)",2025-02-22,Linked to known offender record,18-25,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-01371,OFF-00419,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Koppal,Gangavathi Road area,Late night (11 PM-2 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; late night (11 pm-2 am)",2023-06-24,Linked to known offender record,36-45,M,5,Repeat,Alternates between two known methods
CASE-01455,OFF-00443,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Mysuru,Bannimantap,Weekday mornings,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; weekday mornings",2024-03-21,Linked to known offender record,56+,F,6,Repeat,Alternates between two known methods
CASE-01153,OFF-00350,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Mandya,Ashok Nagar,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2025-01-12,Linked to known offender record,56+,M,6,Repeat,Alternates between two known methods
CASE-01763,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Kolar,Bangarpet Road area,Late night (11 PM-2 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; late night (11 pm-2 am),2025-05-16,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01980,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Tumakuru,Kunigal Road area,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2023-03-20,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01724,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Hubballi-Dharwad,Keshwapur,Weekend nights,Impersonation as utility worker,Impersonation as utility worker; target: Ground-floor apartment; weekend nights,2025-11-12,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00625,OFF-00199,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Kalaburagi,Station Road area,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2024-06-28,Linked to known offender record,46-55,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-01877,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mangaluru (Dakshina Kannada),Hampankatta,Weekend nights,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; weekend nights,2024-10-29,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00506,OFF-00160,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chitradurga,Old Bus Stand area,Late night (11 PM-2 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; late night (11 pm-2 am),2024-01-14,Linked to known offender record,26-35,M,4,Repeat,Escalating frequency over last 6 months
CASE-01230,OFF-00372,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Gadag,Betageri,Weekend nights,Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; weekend nights,2025-04-09,Linked to known offender record,18-25,F,4,Repeat,Consistent MO across all recorded cases
CASE-00329,OFF-00103,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Uttara Kannada,Sirsi town,Weekday mornings,Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; weekday mornings,2025-05-22,Linked to known offender record,18-25,M,5,Repeat,Consistent MO across all recorded cases
CASE-00461,OFF-00148,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Yadgir,Bus Stand area,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2023-08-31,Linked to known offender record,18-25,M,5,Repeat,Long gap then resurgence with same MO
CASE-00371,OFF-00119,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Shivamogga,Durgigudi,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; early morning (4-7 am),2023-05-28,Linked to known offender record,26-35,F,6,Repeat,Alternates between two known methods
CASE-00573,OFF-00181,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Shivamogga,Vinoba Nagar,Late night (11 PM-2 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2025-06-19,Linked to known offender record,46-55,M,4,Repeat,Escalating frequency over last 6 months
CASE-00090,OFF-00027,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kalaburagi,Station Road area,Late night (11 PM-2 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; late night (11 pm-2 am)",2023-10-05,Linked to known offender record,56+,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01048,OFF-00323,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Yadgir,Station Road area,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2023-06-16,Linked to known offender record,26-35,F,6,Repeat,Escalating frequency over last 6 months
CASE-01476,OFF-00449,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ramanagara,Bengaluru-Mysuru Highway area,Weekend nights,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekend nights,2024-09-06,Linked to known offender record,36-45,F,3,Repeat,Escalating frequency over last 6 months
CASE-01203,OFF-00364,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Chamarajanagar,Town Centre,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2023-12-05,Linked to known offender record,56+,F,5,Repeat,Escalating frequency over last 6 months
CASE-00196,OFF-00057,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Chikkaballapur,Bus Stand area,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; evening rush (6-8 pm),2025-03-12,Linked to known offender record,26-35,M,2,Repeat,Alternates between two known methods
CASE-01123,OFF-00342,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Chitradurga,Old Bus Stand area,Midday (12-3 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; midday (12-3 pm)",2023-10-31,Linked to known offender record,56+,F,5,Repeat,Escalating frequency over last 6 months
CASE-01698,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Kolar,Old Bus Stand area,Weekday mornings,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekday mornings,2025-11-07,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00349,OFF-00112,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Chamarajanagar,Town Centre,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2023-07-14,Linked to known offender record,18-25,M,4,Repeat,Alternates between two known methods
CASE-01629,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kodagu,Madikeri town,Weekend nights,Late-night forced entry,Late-night forced entry; target: Small retail shop; weekend nights,2025-01-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01959,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Chikkamagaluru,MG Road area,Late night (11 PM-2 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; late night (11 pm-2 am)",2023-11-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01441,OFF-00439,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Davanagere,PJ Extension,Early morning (4-7 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; early morning (4-7 am)",2024-08-20,Linked to known offender record,18-25,F,1,First recorded instance,Escalating frequency over last 6 months
CASE-01133,OFF-00344,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Chamarajanagar,Kollegal Road area,Weekend nights,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; weekend nights,2025-05-11,Linked to known offender record,18-25,M,6,Repeat,Consistent MO across all recorded cases
CASE-00482,OFF-00153,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Shivamogga,Durgigudi,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2023-01-27,Linked to known offender record,18-25,F,4,Repeat,Alternates between two known methods
CASE-00950,OFF-00296,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Kodagu,Gonikoppal town,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2024-05-18,Linked to known offender record,26-35,M,6,Repeat,Consistent MO across all recorded cases
CASE-00185,OFF-00053,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bagalkot,Old Bagalkot,Evening rush (6-8 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; evening rush (6-8 pm),2025-08-08,Linked to known offender record,46-55,M,5,Repeat,Escalating frequency over last 6 months
CASE-00024,OFF-00009,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Chitradurga,Basaveshwara Nagar,Midday (12-3 PM),Window grille cutting,Window grille cutting; target: Vacant residence; midday (12-3 pm),2024-05-25,Linked to known offender record,56+,M,5,Repeat,Escalating frequency over last 6 months
CASE-00285,OFF-00087,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chamarajanagar,Town Centre,Early morning (4-7 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; early morning (4-7 am),2023-01-16,Linked to known offender record,18-25,F,2,Repeat,Alternates between two known methods
CASE-01273,OFF-00385,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Yadgir,Bus Stand area,Weekday mornings,Impersonation as utility worker,Impersonation as utility worker; target: Vacant residence; weekday mornings,2025-04-17,Linked to known offender record,36-45,F,6,Repeat,Escalating frequency over last 6 months
CASE-01094,OFF-00333,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Uttara Kannada,Sirsi town,Weekday mornings,Relay key attack,Relay key attack; target: Parked vehicle - street; weekday mornings,2025-10-12,Linked to known offender record,26-35,F,6,Repeat,Long gap then resurgence with same MO
CASE-01806,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Vijayapura,Jubilee Circle area,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; early morning (4-7 am),2025-02-20,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01914,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Vijayapura,Station Area,Midday (12-3 PM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; midday (12-3 pm),2024-10-15,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00302,OFF-00092,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Yadgir,Bus Stand area,Weekend nights,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekend nights",2023-06-13,Linked to known offender record,56+,M,5,Repeat,Long gap then resurgence with same MO
CASE-00176,OFF-00051,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Bengaluru Urban,Koramangala,Weekend nights,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; weekend nights,2024-02-15,Linked to known offender record,46-55,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01603,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Raichur,Station Road area,Weekend nights,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; weekend nights",2024-02-08,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01837,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Bengaluru Rural,Devanahalli town,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; early morning (4-7 am),2024-01-25,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00333,OFF-00105,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Mandya,Bannur Road area,Late night (11 PM-2 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; late night (11 pm-2 am),2023-06-20,Linked to known offender record,18-25,M,5,Repeat,Long gap then resurgence with same MO
CASE-00316,OFF-00099,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Ballari,Gandhinagar,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2024-06-06,Linked to known offender record,26-35,M,3,Repeat,Single recorded case - insufficient pattern history
CASE-01246,OFF-00377,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Kodagu,Madikeri town,Evening rush (6-8 PM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; evening rush (6-8 pm),2023-06-15,Linked to known offender record,18-25,F,4,Repeat,Alternates between two known methods
CASE-01164,OFF-00352,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bengaluru Urban,BTM Layout,Weekend nights,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; weekend nights",2024-08-19,Linked to known offender record,46-55,M,6,Repeat,Consistent MO across all recorded cases
CASE-00570,OFF-00179,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Haveri,Bypass Road area,Evening rush (6-8 PM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; evening rush (6-8 pm),2025-08-14,Linked to known offender record,56+,F,4,Repeat,Alternates between two known methods
CASE-00536,OFF-00169,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Hassan,Race Course Road area,Early morning (4-7 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; early morning (4-7 am),2023-12-25,Linked to known offender record,18-25,F,3,Repeat,Alternates between two known methods
CASE-00227,OFF-00065,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Bagalkot,Navanagar,Weekday mornings,Crowd distraction lift,Crowd distraction lift; target: Market crowd; weekday mornings,2023-04-13,Linked to known offender record,36-45,M,6,Repeat,Alternates between two known methods
CASE-01220,OFF-00368,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Haveri,Old Town,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; midday (12-3 pm),2024-10-04,Linked to known offender record,36-45,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-00691,OFF-00217,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Shivamogga,Durgigudi,Evening rush (6-8 PM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; evening rush (6-8 pm),2024-12-30,Linked to known offender record,46-55,F,1,First recorded instance,Alternates between two known methods
CASE-00692,OFF-00218,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Udupi,Manipal,Early morning (4-7 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; early morning (4-7 am),2024-10-07,Linked to known offender record,26-35,F,5,Repeat,Consistent MO across all recorded cases
CASE-00472,OFF-00150,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Udupi,Malpe Road area,Midday (12-3 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; midday (12-3 pm)",2023-07-22,Linked to known offender record,18-25,F,5,Repeat,Long gap then resurgence with same MO
CASE-01052,OFF-00323,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Yadgir,Bus Stand area,Weekday mornings,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekday mornings",2025-02-10,Linked to known offender record,26-35,F,6,Repeat,Escalating frequency over last 6 months
CASE-01173,OFF-00356,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Raichur,Station Road area,Evening rush (6-8 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2024-09-09,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-00726,OFF-00229,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Chikkamagaluru,MG Road area,Weekend nights,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekend nights,2024-06-29,Linked to known offender record,46-55,M,6,Repeat,Long gap then resurgence with same MO
CASE-00019,OFF-00008,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Davanagere,Shamanur Road area,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; early morning (4-7 am),2023-12-16,Linked to known offender record,18-25,M,5,Repeat,Consistent MO across all recorded cases
CASE-00912,OFF-00286,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Chikkamagaluru,IG Road area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; late night (11 pm-2 am),2023-10-22,Linked to known offender record,36-45,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01655,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Udupi,Malpe Road area,Weekday mornings,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekday mornings,2024-06-09,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01144,OFF-00347,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Udupi,Manipal,Weekend nights,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekend nights,2025-09-07,Linked to known offender record,18-25,F,1,First recorded instance,Single recorded case - insufficient pattern history
CASE-01321,OFF-00398,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Kolar,Bangarpet Road area,Early morning (4-7 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; early morning (4-7 am)",2025-08-10,Linked to known offender record,26-35,F,6,Repeat,Escalating frequency over last 6 months
CASE-01589,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Hubballi-Dharwad,Keshwapur,Evening rush (6-8 PM),SMS phishing link,SMS phishing link; target: Elderly account holder; evening rush (6-8 pm),2023-12-30,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00507,OFF-00161,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Bidar,Chidri,Weekday mornings,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekday mornings,2024-03-28,Linked to known offender record,18-25,M,4,Repeat,Alternates between two known methods
CASE-00953,OFF-00297,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Kodagu,Virajpet town,Evening rush (6-8 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; evening rush (6-8 pm),2023-06-30,Linked to known offender record,36-45,F,4,Repeat,Consistent MO across all recorded cases
CASE-00280,OFF-00085,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kalaburagi,Sedam Road area,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Small retail shop; midday (12-3 pm),2025-12-17,Linked to known offender record,18-25,F,3,Repeat,Consistent MO across all recorded cases
CASE-00659,OFF-00209,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Tumakuru,SS Puram,Weekend nights,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekend nights,2023-01-13,Linked to known offender record,18-25,M,5,Repeat,Escalating frequency over last 6 months
CASE-00887,OFF-00281,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Bidar,Old City area,Late night (11 PM-2 AM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; late night (11 pm-2 am),2025-08-28,Linked to known offender record,56+,M,4,Repeat,Escalating frequency over last 6 months
CASE-01507,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mandya,Bannur Road area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2024-10-29,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00690,OFF-00216,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Hubballi-Dharwad,Keshwapur,Weekday mornings,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekday mornings,2024-04-20,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-00150,OFF-00043,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Tumakuru,Kunigal Road area,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2023-03-26,Linked to known offender record,46-55,F,1,First recorded instance,Single recorded case - insufficient pattern history
CASE-01544,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Chikkaballapur,Bus Stand area,Midday (12-3 PM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; midday (12-3 pm),2025-05-01,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01985,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Davanagere,PJ Extension,Early morning (4-7 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; early morning (4-7 am),2024-07-21,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00067,OFF-00019,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Bengaluru Urban,Jayanagar,Late night (11 PM-2 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; late night (11 pm-2 am),2023-10-25,Linked to known offender record,18-25,F,6,Repeat,Escalating frequency over last 6 months
CASE-00253,OFF-00074,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Mangaluru (Dakshina Kannada),Bejai,Midday (12-3 PM),Bag slit and remove,Bag slit and remove; target: Market crowd; midday (12-3 pm),2025-01-12,Linked to known offender record,18-25,M,3,Repeat,Escalating frequency over last 6 months
